#,entry_date,exit_date,side,entry,exit,pnl_$,result,consec_losses,balance_$
60,2026-01-18 09:00,2026-01-19 00:00,SHORT,95230.5,93555.2,21.74,WIN,0,1116.77
61,2026-01-23 23:00,2026-01-25 08:00,LONG,89843.5,88482.5,-5.99,LOSS,1,1110.78
62,2026-02-02 09:00,2026-02-05 15:00,SHORT,76982.8,66741.2,23.33,WIN,0,1134.11
63,2026-02-09 20:00,2026-02-19 20:00,SHORT,70280.2,61798.7,8.73,WIN,0,1142.84
64,2026-02-20 17:00,2026-02-23 01:00,LONG,66946.0,65602.0,-6.03,LOSS,1,1136.81
65,2026-02-27 11:00,2026-03-09 11:00,LONG,66246.8,82166.7,2.13,WIN,0,1138.94
66,2026-03-11 18:00,2026-03-13 00:00,SHORT,70348.0,71756.0,-6.01,LOSS,1,1132.94
67,2026-03-13 20:00,2026-03-19 12:00,LONG,71523.0,69172.5,-5.85,LOSS,2,1127.08
68,2026-03-24 14:00,2026-03-27 10:00,LONG,69556.8,67319.0,-5.83,LOSS,3,1121.25
69,2026-03-28 23:00,2026-03-29 22:00,LONG,66404.8,65525.0,-6.07,LOSS,4,1115.18
70,2026-03-30 19:00,2026-04-09 19:00,LONG,66543.2,73307.1,19.02,WIN,0,1134.21
71,2026-04-10 06:00,2026-04-17 14:00,LONG,71785.0,77505.7,23.69,WIN,0,1157.9
72,2026-04-21 02:00,2026-04-21 19:00,LONG,75675.5,74829.5,-6.36,LOSS,1,1151.54
73,2026-04-25 22:00,2026-04-26 05:00,SHORT,77476.8,77848.5,-7.08,LOSS,2,1144.46
74,2026-04-29 16:00,2026-04-29 18:00,LONG,76755.5,75637.5,-6.15,LOSS,3,1138.31
75,2026-05-04 10:00,2026-05-14 10:00,LONG,79305.8,84722.5,0.61,WIN,0,1138.92
76,2026-05-15 05:00,2026-05-15 13:00,LONG,80358.0,78717.0,-6.0,LOSS,1,1132.92
77,2026-05-18 03:00,2026-05-18 03:00,LONG,78027.8,77603.0,-6.81,LOSS,2,1126.11
78,2026-05-18 12:00,2026-05-28 03:00,SHORT,77558.8,73296.3,23.37,WIN,0,1149.48
79,2026-05-29 04:00,2026-05-29 14:00,LONG,73308.0,72677.0,-6.48,LOSS,1,1143.0
80,2026-05-29 20:00,2026-05-30 14:00,SHORT,73217.2,73939.0,-6.35,LOSS,2,1136.64
81,2026-05-31 22:00,2026-06-01 12:00,SHORT,73810.2,71915.7,23.04,WIN,0,1159.69
82,2026-06-14 14:00,2026-06-15 15:00,LONG,64057.8,66971.1,23.97,WIN,0,1183.66
83,2026-06-21 23:00,2026-06-23 08:00,LONG,63408.2,62245.0,-6.27,LOSS,1,1177.38
84,2026-06-24 23:00,2026-07-03 15:00,SHORT,61081.8,63095.0,-2.96,LOSS,2,1174.42
