dir,entry_bar,exit_bar,lots,pnl,equity
-1,4652,4686,125,-50.16361491249925,862.4583368555298
1,4849,4903,204,389.07625886424074,1251.5345957197706
1,4926,4979,238,456.7392931847223,1708.2738889044929
-1,4997,4998,157,-129.6762429167591,1578.5976459877338
1,4999,5044,123,-256.35202286634245,1322.2456231213914
1,5292,5292,157,-31.868530455940817,1290.3770926654506
-1,5287,5339,193,600.1923123843426,1890.5694050497932
1,5401,5401,396,-78.2212946644785,1812.3481103853146
1,5439,5451,286,-172.5241675414379,1639.8239428438767
-1,5559,5562,121,-98.95799952279933,1540.8659433210773
1,5602,5603,266,-103.02968752775911,1437.8362557933183
1,6296,6342,125,-93.59131280499986,1344.2449429883184
1,6379,6384,146,-146.79989900088086,1197.4450439874374
1,6504,6504,138,-27.765253967761108,1169.6797900196764
-1,6846,6915,142,630.3950711120812,1800.0748611317576
1,6968,6974,426,-335.324302663505,1464.7505584682526
-1,7062,7090,113,-73.54424354583965,1391.206314922413
-1,7204,7297,192,1567.1569513152003,2958.363266237613
-1,7522,7545,229,-470.01516428526816,2488.348101952345
1,7649,7649,383,-60.083316139976276,2428.2647858123687
-1,7688,7688,267,-43.59445108589727,2384.6703347264715
1,7677,7733,276,1477.7903455401613,3862.460680266633
-1,7734,7782,301,525.86022091932,4388.320901185953
1,7928,7971,469,-716.0388146149874,3672.2820865709655
-1,8047,8136,141,-207.01753698737923,3465.2645495835864
-1,8188,8221,799,-62.24747760558253,3403.017071978004
1,8298,8315,955,-415.395946837188,2987.621125140816
1,8530,8530,302,-50.02767847296039,2937.5934466678555
-1,8536,8618,185,316.08673582400263,3253.680182491858
1,8942,8956,312,-77.6186381755221,3176.061544316336
1,9013,9065,333,125.34268186998291,3301.4042261863187
-1,9174,9175,253,-289.86812527089756,3011.5361009154212
1,9175,9186,193,-225.36055438431987,2786.175546531101
-1,9313,9313,279,-35.18543755817985,2750.9901089729215
-1,9346,9413,275,526.1392696835003,3277.129378656422
-1,9534,9592,226,-105.29059327888042,3171.8387853775416
1,9597,9605,458,-518.3618317491259,2653.4769536284157
1,9630,9653,575,-452.7626739176695,2200.7142797107463
-1,9769,9803,228,200.19187759608093,2400.906157306827
1,9829,9829,178,-21.032885473319244,2379.8732718335077
1,9943,9943,206,-25.39466506683884,2354.4786067666687
1,10075,10202,423,1765.2563096795996,4119.7349164462685
1,10271,10277,380,-420.7729090883994,3698.962007357869
-1,10309,10347,807,-633.8136162032235,3065.1483911546457
1,10427,10427,427,-52.663439616480275,3012.484951538165
1,10480,10497,686,-146.8897557486753,2865.59519578949
-1,10499,10504,599,-484.9448724622866,2380.6503233272033
-1,10542,10545,203,-374.3526541971317,2006.2976691300717
1,10818,10818,192,-24.794262685441808,1981.50340644463
-1,10999,11023,364,1.126480351366037,1982.629886795996
1,11025,11051,199,-199.47466258487904,1783.155224211117
1,11141,11143,548,-274.39430901600144,1508.7609151951156
-1,11549,11561,270,-181.2682741896013,1327.4926410055143
1,11742,11762,166,-63.38110328652038,1264.111537718994
-1,11770,11857,153,-53.589572033219504,1210.5219656857744
-1,11872,11886,197,-202.0352835285715,1008.4866821572028
-1,12015,12163,276,3271.6559277993624,4280.142609956565
1,12224,12224,551,-60.88020198071915,4219.262407975846
-1,12248,12248,555,-62.12963238690226,4157.132775588944
1,12254,12342,605,1506.1564051160024,5663.289180704946
1,12429,12439,1211,-957.3889744616521,4705.900206243295
1,12471,12516,851,166.86834737354303,4872.768553616837
-1,12517,12521,1049,-824.2979492155814,4048.470604401256
1,12675,12680,690,-529.8949461137972,3518.5756582874587
-1,12912,12932,397,-215.2377745802163,3303.3378837072423
