entry_time,exit_time,side,entry,exit,notional,ret,pnl,equity
1777846500,1777846500,buy,79246.3461,78970.45367252309,1436.1819718054971,-0.004581452976125404,-6.579800168985947,993.4201998310141
1777940100,1777948200,buy,79929.4827,80680.45566478152,1321.6781162575576,0.008295443826405818,10.963906570004427,1004.3841064010185
1778000400,1778020200,buy,81267.2502,80889.85764767691,1081.4142193499936,-0.005743845477659418,-6.211476173290051,998.1726302277284
1778026500,1778028300,buy,81129.7227,80765.73101626922,1112.4082268456748,-0.005586539231457066,-6.2145122006689535,991.9581180270594
1778047200,1778059800,buy,81278.7525,81998.38428391785,1400.457848153678,0.0077538733898241344,10.858972842369173,1002.8170908694286
1778078700,1778079600,buy,81848.8665,81408.30936428599,931.5413999760041,-0.006482568562681492,-6.038780994320749,996.7783098751079
1778081400,1778094000,buy,81632.3232,81158.623390538,858.870190837647,-0.006902846114049981,-5.928648759297017,990.8496611158108
1778451300,1778454000,buy,81304.7577,82243.69270550521,1072.5022384643257,0.01044834024559433,11.205868301636821,1002.0555294174476
1778614200,1778634000,sell,80656.3655,80961.32083768611,1325.1474403635036,-0.0048809208956497666,-6.467939831487028,995.5875895859606
1778804100,1778809500,buy,81459.2886,81132.68711200317,1241.572065150073,-0.00510938301340417,-6.343667219594918,989.2439223663657
1778814000,1778815800,buy,81279.25259999999,80912.02065975596,1094.7441907640139,-0.005618151047122615,-6.150438221672244,983.0934841446934
1779111000,1779113700,sell,77225.5518,76436.40376288992,1202.5617060089776,0.009118742614540657,10.965850675198777,994.0593348198922
1779138000,1779149700,sell,76857.1255,77225.25270801513,1037.6921535171693,-0.005889760293795262,-6.111758042968322,987.9475767769239
1779188400,1779190200,buy,77021.4012,76742.4814699227,1364.0681972267716,-0.0047213276535054,-6.440212900834015,981.5073638760899
1779213600,1779241500,sell,76806.1357,76788.0,1186.5999208051685,-0.0008638769372431934,-1.0250763053181848,980.4822875707717
1779287400,1779293700,buy,77402.4774,77099.18477033974,1251.1309323574314,-0.005018384008471895,-6.278655463447066,974.2036321073247
1779295500,1779323400,buy,77317.9605,77700.0,1017.3920359948031,0.0038411481825105682,3.9079535699621646,978.1115856772868
1779913800,1779917400,sell,75234.95,74487.85351606521,1231.2361559928631,0.008830178513241348,10.872035049374052,988.9836207266609
1779964200,1779976800,sell,73394.8181,72730.353101712,1365.5021922548744,0.007953295797840628,10.860242847602859,999.8438635742638
1779989400,1779991200,sell,73333.8303,73717.54380224508,955.4313281764698,-0.006332421389628165,-6.050193778865524,993.7936697953983
