dir,entry_bar,exit_bar,lots,pnl,equity
1,29069,29090,67233,-47928.833199464585,121077.44636640344
1,29204,29206,67631,-34683.36997053057,86394.07639587286
1,29408,29427,33383,-11542.974473534789,74851.10192233807
1,29880,29918,39065,10478.0970443581,85329.19896669617
1,30185,30231,41625,38714.530807575255,124043.72977427143
-1,30373,30387,38554,-19018.478813225756,105025.25096104568
-1,30594,30665,15905,51546.642860348285,156571.89382139395
1,30735,30830,83139,425101.50684510753,581673.4006665015
-1,31326,31338,149065,-79238.83725996943,502434.56340653205
1,31424,31442,105829,135687.48996024622,638122.0533667783
-1,32199,32218,294338,65487.68642037776,703609.7397871561
-1,32300,32332,267936,81060.96825760079,784670.7080447569
1,32960,32978,296006,-210657.9943256829,574012.713719074
-1,33053,33063,123503,-22992.844119969708,551019.8695991043
1,33730,33779,217883,57384.209452595176,608404.0790516995
1,34014,34036,191692,58017.07558548259,666421.1546371821
-1,34114,34134,375743,-209026.53263762585,457394.6219995563
1,34876,34913,155224,89930.75016491028,547325.3721644667
-1,34984,35015,289129,192687.08818864785,740012.4603531145
-1,35296,35319,434365,645680.4584851931,1385692.9188383077
-1,36516,36542,189378,354099.4627688287,1739792.3816071365
-1,36605,36642,557064,-61786.766684429575,1678005.614922707
-1,36892,36913,360076,155577.9307231005,1833583.5456458074
-1,36977,36987,530208,-491921.27389435953,1341662.2717514478
1,37099,37123,415743,-171133.29707996696,1170528.974671481
-1,37150,37169,238563,-84716.05682222593,1085812.917849255
1,37251,37284,281244,46364.61761518138,1132177.5354644365
-1,37672,37691,406698,-249478.65352042712,882698.8819440093
1,38041,38042,735091,-194105.75443978995,688593.1275042194
-1,38417,38429,487569,-205067.41030595472,483525.71719826467
-1,38626,38646,392705,-22586.936172439262,460938.7810258254
-1,38661,38677,228641,347836.00547986187,808774.7865056873
-1,38732,38754,414809,-162604.58234364816,646170.2041620391
1,38866,38871,365238,-188584.33821251855,457585.86594952055
-1,39084,39133,275357,223558.23470873616,681144.1006582567
1,39215,39235,438640,301128.43983788136,982272.540496138
1,39391,39405,429207,-80293.32418160186,901979.2163145362
1,39555,39605,717089,2401487.2954233675,3303466.5117379036
1,40256,40283,1280732,-1135.8354374349055,3302330.676300469
-1,41116,41136,2348435,-578542.6510989364,2723788.0252015325
1,41394,41435,1054282,169813.12602147527,2893601.1512230076
1,41577,41597,2086877,-838368.5836308168,2055232.5675921908
1,41725,41731,1224597,-548423.6504587235,1506808.9171334673
-1,42081,42116,793949,279168.09519004106,1785977.0123235083
-1,42313,42363,1151001,483775.34476318443,2269752.357086693
1,42367,42377,1918943,-724439.9855537694,1545312.3715329235
1,43045,43068,987914,-61563.02348719185,1483749.3480457317
1,43129,43163,683523,270103.4997245413,1753852.847770273
-1,43277,43342,1234999,773580.7258425478,2527433.573612821
1,43416,43480,1429816,4160144.6848920234,6687578.258504844
1,43519,43524,2736518,-1892764.7394178316,4794813.519087013
1,43727,43750,3105819,-1332854.217421297,3461959.301665716
1,44393,44422,936134,83824.26907944054,3545783.5707451566
1,44630,44660,1847471,-665100.408719192,2880683.162025965
-1,44818,44879,1474608,524599.2930840316,3405282.4551099963
-1,44952,44996,2177607,404116.4473822544,3809398.902492251
1,45531,45559,1709587,-321017.3469210321,3488381.5555712185
1,46394,46432,1909313,2003006.839077865,5491388.394649084
-1,46781,46792,2608527,-1596160.4456771594,3895227.9489719244
-1,47176,47253,2864605,5072493.24619899,8967721.195170915
1,47544,47550,6455607,-2847981.083251211,6119740.111919704
-1,47739,47752,2078679,-1680734.194998206,4439005.916921498
1,48286,48294,3516900,-1395957.4782838982,3043048.4386376003
-1,49081,49095,2458330,-946844.4381647266,2096204.0004728737
1,49186,49204,1074316,-599273.5573453901,1496930.4431274836
1,49400,49447,445410,15931.458339198232,1512861.9014666819
-1,49680,49694,658572,-295090.6011819407,1217771.3002847412
-1,50073,50083,1010476,-277234.7726247276,940536.5276600136
-1,50857,50922,810653,862853.1631574315,1803389.690817445
1,51002,51042,586472,-128420.00366664794,1674969.687150797
1,51428,51438,1219168,-510627.81247450877,1164341.8746762883
