entry_time,exit_time,side,entry,exit,notional,ret,pnl,equity
1777846500,1777846500,buy,2347.3193699999997,2334.375790393278,906.7504667646044,-0.006614196224062119,-5.99742551344101,994.002574486559
1777886100,1777888800,buy,2360.32197,2348.129672131165,962.1509169302116,-0.006265523188700771,-6.02837888105595,987.974195605503
1777929300,1777957200,buy,2356.57122,2378.1,878.5472870619386,0.008035637326505285,7.059687373014867,995.0338829785179
1777973400,1777986000,buy,2370.8240699999997,2395.923417133961,1174.8563954872043,0.009486760718167142,11.14558150219545,1006.1794644807134
1777993200,1777998600,buy,2377.67544,2363.8912983979662,867.797310125993,-0.00689731841030151,-5.98547436354214,1000.1939901171712
1778018400,1778020200,buy,2374.57482,2363.786135768768,1100.7067280605772,-0.005643417263740654,-6.2117473514525505,993.9822427657186
1778142600,1778161500,sell,2335.73276,2310.9777611720847,1172.327306206583,0.009498386618473935,11.135217997744203,1005.1174607634629
1778230800,1778231700,sell,2281.9435200000003,2290.3640226453226,1361.9265814862592,-0.004790057431974634,-6.523706543452064,998.5937542200109
1778234400,1778238000,sell,2282.8433400000004,2291.184006676725,1366.5772710640977,-0.00475363077289596,-6.496203769270478,992.0975504507404
1778252400,1778259600,sell,2284.24306,2296.512774857482,923.4900610091222,-0.00647145764929328,-5.976326819363801,986.1212236313767
1778451300,1778454000,buy,2342.4683999999997,2379.1115364900415,787.9912946158352,0.014542958722534655,11.459724871314735,997.5809485026914
1778517900,1778521500,sell,2328.0842900000002,2341.3943312509145,872.4437777579552,-0.006817164669718341,-5.947592898047133,991.6333556046443
1778612400,1778623200,sell,2278.0443,2288.631682991223,1066.8286560039105,-0.005747575550318739,-6.131678299627477,985.5016773050169
1778672700,1778674500,buy,2306.31117,2297.3277352594073,1265.0359200318044,-0.004995152942693616,-6.319047898559994,979.1826294064568
1778718600,1778727600,sell,2262.94732,2242.2321346280482,1337.0859753481166,0.00805407318096648,10.768988294697673,989.9516177011545
1778742900,1778769900,sell,2263.5472,2272.8946951418106,1198.6110601758787,-0.005229578186755138,-6.268230254699225,983.6833874464553
1778804100,1778808600,buy,2291.0581199999997,2279.854790365444,1005.8062584211602,-0.0059900241930814745,-6.0248038214955075,977.6585836249598
1779111900,1779120900,sell,2124.4750200000003,2091.584963489689,789.3765849674998,0.014381498346971052,11.352418051847751,989.0110016768075
1779138000,1779139800,sell,2116.5766,2132.771216080802,646.3004534492271,-0.008751325296141896,-5.655985507178199,983.3550161696293
1779211800,1779239700,sell,2118.22627,2102.65,895.8385958346281,0.006253449544368091,5.602081458949406,988.9570976285787
1779287400,1779314400,buy,2131.07613,2120.166356798202,965.8967355998727,-0.006219372812738553,-6.007271897302767,982.949825731276
