date,open,high,low,close,cvd
2024-07-07,58234.9,58396.7,55727.7,55845.4,-857.617818
2024-07-08,55845.4,58129.8,54301.3,56699.3,-280.531904
2024-07-09,56699.3,58245.2,56325.2,58001.6,773.652638
2024-07-10,58001.6,59474.1,57154.1,57743.1,29.735384
2024-07-11,57742.1,59500.0,57075.5,57350.0,-1155.673801
2024-07-12,57350.0,58494.9,56593.3,57911.4,-717.162731
2024-07-13,57911.5,59836.5,57784.1,59222.8,-320.867395
2024-07-14,59222.8,61373.5,59222.8,60810.0,411.080656
2024-07-15,60810.0,64900.0,60704.5,64764.2,3207.251058
2024-07-16,64764.3,65416.3,62466.0,65088.7,5685.055152
2024-07-17,65077.1,66100.3,63853.1,64120.0,4196.304091
2024-07-18,64120.1,65097.1,63225.5,63960.7,3875.747434
2024-07-19,63960.7,67429.0,63350.0,66708.9,5214.157906
2024-07-20,66708.9,67612.9,66301.4,67166.1,5494.110130
2024-07-21,67166.1,68313.0,65857.0,68137.1,6787.884741
2024-07-22,68137.2,68531.4,66600.0,67595.1,6829.950449
2024-07-23,67595.2,67761.1,65458.8,65900.8,5265.982530
2024-07-24,65900.8,67098.3,65134.4,65367.0,4071.405959
2024-07-25,65360.4,66090.9,63427.5,65795.4,5459.468111
2024-07-26,65794.2,69000.0,65755.6,67914.7,6282.852573
2024-07-27,67914.7,69398.3,66624.3,67900.8,6038.411470
2024-07-28,67912.9,68282.0,67090.9,68250.0,6980.010276
2024-07-29,68250.0,69985.0,66429.9,66755.3,4742.954276
2024-07-30,66755.4,66973.7,65337.5,66175.1,4784.099210
2024-07-31,66175.1,66799.9,64524.6,64638.1,3374.797402
2024-08-01,64638.1,65550.0,62250.0,65300.0,5429.252417
2024-08-02,65300.1,65500.0,61205.0,61409.9,3026.127026
2024-08-03,61410.0,62126.7,59826.5,60688.5,2384.842145
2024-08-04,60688.6,61040.4,57176.3,58103.0,1347.559556
2024-08-05,58103.1,58270.3,49111.0,54006.5,2079.449974
2024-08-06,54012.4,57056.5,53978.6,56080.0,3229.174585
2024-08-07,56080.0,57720.8,54556.5,55091.0,1387.843044
2024-08-08,55138.1,62700.0,54760.3,61704.7,4063.352217
2024-08-09,61701.9,61732.2,59572.9,60859.9,4742.424433
2024-08-10,60859.9,61444.6,60284.3,60951.7,4854.489702
2024-08-11,60951.8,61800.0,58329.9,58717.7,3567.614795
2024-08-12,58717.7,60658.4,57690.0,59359.9,3789.383157
2024-08-13,59359.5,61555.0,58441.2,60600.0,4733.847700
2024-08-14,60600.1,61773.4,58500.0,58693.6,2708.319644
2024-08-15,58693.7,59885.4,56117.7,57554.9,2096.888051
2024-08-16,57555.0,59800.0,57100.9,58898.4,2647.817392
2024-08-17,58895.6,59682.2,58812.4,59473.3,2884.959787
2024-08-18,59473.4,60234.4,58451.6,58466.5,2085.589313
2024-08-19,58466.5,59593.0,57860.8,59493.7,3248.069804
2024-08-20,59493.7,61391.9,58572.7,59023.3,1818.166673
2024-08-21,59023.3,61800.0,58844.0,61179.7,3067.757335
2024-08-22,61179.8,61416.7,59805.7,60391.1,2634.347814
2024-08-23,60391.1,64950.9,60390.0,64087.4,4594.857751
2024-08-24,64087.5,64481.2,63641.0,64176.0,4855.576133
2024-08-25,64176.1,65070.7,63834.5,64288.1,4667.410948
2024-08-26,64288.1,64455.5,62851.0,62854.7,3536.245747
2024-08-27,62851.1,63200.0,58009.6,59458.0,2511.991477
2024-08-28,59458.0,60216.2,57870.8,59025.6,2482.077869
2024-08-29,59025.6,61143.1,58717.4,59385.5,1824.490194
2024-08-30,59385.5,59899.0,57755.0,59105.0,2219.000231
2024-08-31,59110.0,59443.0,58736.9,58972.3,2032.799318
2024-09-01,58972.3,59026.7,57210.0,57321.2,477.653648
2024-09-02,57318.5,59388.0,57124.2,59128.6,1810.260939
2024-09-03,59128.7,59773.0,57406.4,57497.6,476.905907
2024-09-04,57482.4,58508.0,55617.7,57970.0,1891.562282
2024-09-05,57970.1,58285.9,55601.5,56163.9,662.564429
2024-09-06,56163.9,56964.1,52569.0,53948.3,-754.841634
2024-09-07,53948.3,54810.2,53739.0,54146.4,-997.877683
2024-09-08,54146.5,55317.6,53636.6,54856.8,-554.868396
2024-09-09,54856.9,58050.8,54580.3,57062.7,223.024681
2024-09-10,57062.7,58000.0,56440.2,57630.0,871.875450
2024-09-11,57630.0,57990.0,55548.1,57350.6,1875.997532
2024-09-12,57350.7,58546.4,57339.0,58133.1,2315.283109
2024-09-13,58133.4,60657.4,57658.3,60581.0,5155.633402
2024-09-14,60581.1,60650.0,59478.3,60000.1,5044.996742
2024-09-15,60000.2,60350.0,58679.1,59135.1,4630.864369
2024-09-16,59135.1,59176.7,57488.7,58197.2,4406.926527
2024-09-17,58197.3,61300.0,57619.9,60317.2,5516.577253
2024-09-18,60317.1,61777.7,59164.6,61777.7,7891.005489
2024-09-19,61777.7,63840.0,61599.2,62922.1,8374.440431
2024-09-20,62922.2,64087.0,62373.3,63210.2,8322.413539
2024-09-21,63210.3,63539.5,62801.0,63376.1,9308.754604
2024-09-22,63376.1,64000.0,62440.6,63615.2,10419.130995
2024-09-23,63615.2,64777.3,62643.0,63332.4,9559.241016
2024-09-24,63332.4,64681.0,62739.4,64271.8,10560.718904
2024-09-25,64271.9,64770.0,62917.4,63139.2,9441.162372
2024-09-26,63139.2,65764.9,62673.3,65183.5,10923.762640
2024-09-27,65179.3,66452.8,64841.2,65788.9,11202.089610
2024-09-28,65788.8,66218.7,65475.7,65878.4,11238.553474
2024-09-29,65862.7,66055.0,65474.4,65610.0,10949.742814
2024-09-30,65610.1,65610.1,62883.9,63338.5,9741.814324
2024-10-01,63325.0,64100.0,60203.4,60819.1,7941.150112
