timestamp,datetime,open,high,low,close,volume,buy_vol,sell_vol,delta,cvd
1779955200,2026-05-28 08:00:00,73456.4,73456.4,73199.0,73378.5,66.76064123,23.35181507,43.40882616,-20.05701109,-20.05701109
1779969600,2026-05-28 12:00:00,73378.6,73449.9,72470.0,72806.3,513.43179106,230.97509297,282.45669809,-51.48160512,-71.53861621
1779984000,2026-05-28 16:00:00,72806.3,73628.8,72605.9,73300.7,609.83874725,371.71894344,238.11980381,133.59913963,62.06052342
1779998400,2026-05-28 20:00:00,73300.8,73827.0,73140.8,73515.7,283.5871293,210.12304968,73.46407962,136.65897006,198.71949348
1780012800,2026-05-29 00:00:00,73516.5,73747.9,73072.9,73186.3,113.59569052,48.49460319,65.10108733,-16.60648414,182.11300934
1780027200,2026-05-29 04:00:00,73186.4,73800.0,73100.8,73422.3,132.49840322,62.32096852,70.1774347,-7.85646618,174.25654316
1780041600,2026-05-29 08:00:00,73419.7,73782.8,73235.3,73364.0,255.31528376,124.9739222,130.34136156,-5.36743936,168.8891038
1780056000,2026-05-29 12:00:00,73364.0,74071.5,72362.8,73696.4,598.40303236,264.91607548,333.48695688,-68.5708814,100.3182224
1780070400,2026-05-29 16:00:00,73696.5,74200.0,73099.1,73418.0,436.45705988,202.94728779,233.50977209,-30.5624843,69.7557381
1780084800,2026-05-29 20:00:00,73413.5,73729.6,73227.4,73370.7,100.78901252,65.08373675,35.70527577,29.37846098,99.13419908
1780099200,2026-05-30 00:00:00,73370.7,73703.5,73312.9,73430.2,142.42444691,88.97206335,53.45238356,35.51967979,134.65387887
1780113600,2026-05-30 04:00:00,73429.3,73605.8,73131.0,73443.1,113.03795853,57.52922711,55.50873142,2.02049569,136.67437456
1780128000,2026-05-30 08:00:00,73443.2,73578.2,73398.8,73494.5,43.91718606,13.46631256,30.4508735,-16.98456094,119.68981362
1780142400,2026-05-30 12:00:00,73494.6,73968.8,73486.0,73811.4,110.58875476,39.39959706,71.1891577,-31.78956064,87.90025298
1780156800,2026-05-30 16:00:00,73811.4,74004.4,73705.0,73901.1,125.3383089,84.12939205,41.20891685,42.9204752,130.82072818
1780171200,2026-05-30 20:00:00,73901.1,73950.6,73686.9,73753.7,71.63690378,30.74441457,40.89248921,-10.14807464,120.67265354
1780185600,2026-05-31 00:00:00,73778.8,74161.0,73751.6,74037.6,69.27581693,43.96615241,25.30966452,18.65648789,139.32914143
1780200000,2026-05-31 04:00:00,74037.6,74109.3,73734.5,73767.6,26.0422596,10.8744978,15.1677618,-4.293264,135.03587743
1780214400,2026-05-31 08:00:00,73767.6,73915.8,73617.8,73838.3,49.38997824,14.54164928,34.84832896,-20.30667968,114.72919775
1780228800,2026-05-31 12:00:00,73838.4,73901.1,73405.6,73545.1,93.01439499,34.78011819,58.2342768,-23.45415861,91.27503914
1780243200,2026-05-31 16:00:00,73545.1,73631.3,73272.9,73451.2,94.19458119,36.55201705,57.64256414,-21.09054709,70.18449205
1780257600,2026-05-31 20:00:00,73451.1,74070.0,73363.6,73570.0,106.81778023,68.39514868,38.42263155,29.97251713,100.15700918
1780272000,2026-06-01 00:00:00,73569.9,73960.0,73155.0,73673.1,131.33068907,52.66353748,78.66715159,-26.00361411,74.15339507
1780286400,2026-06-01 04:00:00,73673.0,73745.9,72613.7,72719.8,155.3518316,70.77814092,84.57369068,-13.79554976,60.35784531
1780300800,2026-06-01 08:00:00,72719.8,72999.9,72200.0,72384.3,299.61807238,85.80038092,213.81769146,-128.01731054,-67.65946523
1780315200,2026-06-01 12:00:00,72391.6,72529.3,70964.6,71000.0,771.92865181,245.74768894,526.18096287,-280.43327393,-348.09273916
1780329600,2026-06-01 16:00:00,71000.0,71679.6,70581.5,71493.2,538.35159208,291.65772026,246.69387182,44.96384844,-303.12889072
1780344000,2026-06-01 20:00:00,71495.0,71595.0,70750.0,71317.5,414.10306775,152.87672558,261.22634217,-108.34961659,-411.47850731
1780358400,2026-06-02 00:00:00,71315.5,71315.5,70000.0,70846.2,254.8894686,94.62218568,160.26728292,-65.64509724,-477.12360455
1780372800,2026-06-02 04:00:00,70846.2,70928.6,69647.8,70022.1,561.34568751,216.16866034,345.17702717,-129.00836683,-606.13197138
1780387200,2026-06-02 08:00:00,70020.1,70065.0,69236.5,69362.5,596.19757299,279.82699819,316.3705748,-36.54357661,-642.67554799
1780401600,2026-06-02 12:00:00,69360.1,69434.9,66964.6,67197.7,1446.22076239,525.45502219,920.7657402,-395.31071801,-1037.986266
1780416000,2026-06-02 16:00:00,67197.7,68001.5,66327.3,67209.9,1109.93617386,409.5092991,700.42687476,-290.91757566,-1328.90384166
1780430400,2026-06-02 20:00:00,67206.9,67802.8,66111.8,66669.7,762.8611617,296.13207598,466.72908572,-170.59700974,-1499.5008514
1780444800,2026-06-03 00:00:00,66669.7,67083.3,65379.8,65770.5,707.76022102,255.86239307,451.89782795,-196.03543488,-1695.53628628
1780459200,2026-06-03 04:00:00,65770.5,67420.0,65754.7,67130.6,358.1083698,237.98096408,120.12740572,117.85355836,-1577.68272792
1780473600,2026-06-03 08:00:00,67129.3,67374.9,66556.6,66985.0,314.54792864,159.86539312,154.68253552,5.1828576,-1572.49987032
1780488000,2026-06-03 12:00:00,66985.0,67140.0,66000.0,66000.0,568.84275007,264.8049577,304.03779237,-39.23283467,-1611.73270499
1780502400,2026-06-03 16:00:00,66000.1,66250.0,65187.4,65376.1,776.2661369,264.11232884,512.15380806,-248.04147922,-1859.77418421
1780516800,2026-06-03 20:00:00,65375.9,65761.5,64000.0,64035.8,1055.28504896,418.13588632,637.14916264,-219.01327632,-2078.78746053
1780531200,2026-06-04 00:00:00,64036.1,64444.0,61255.9,64290.0,2450.32409786,1118.88721322,1331.43688464,-212.54967142,-2291.33713195
1780545600,2026-06-04 04:00:00,64290.0,64686.1,63351.3,63525.1,975.21283823,514.86435007,460.34848816,54.51586191,-2236.82127004
1780560000,2026-06-04 08:00:00,63543.0,63826.8,62038.8,62476.1,1073.35956331,393.31144501,680.0481183,-286.73667329,-2523.55794333
1780574400,2026-06-04 12:00:00,62479.2,64434.8,62312.4,63826.7,1183.8406533,669.87972,513.9609333,155.9187867,-2367.63915663
1780588800,2026-06-04 16:00:00,63826.8,64072.0,62897.0,63547.7,649.99585763,243.40813325,406.58772438,-163.17959113,-2530.81874776
1780603200,2026-06-04 20:00:00,63538.5,63850.0,63057.2,63814.0,416.17367724,228.54961254,187.6240647,40.92554784,-2489.89319992
1780617600,2026-06-05 00:00:00,63811.1,63905.3,62283.4,62648.3,710.862277,213.4878582,497.3744188,-283.8865606,-2773.77976052
1780632000,2026-06-05 04:00:00,62665.3,63614.6,61100.0,63043.1,922.09260053,459.43438519,462.65821534,-3.22383015,-2777.00359067
1780646400,2026-06-05 08:00:00,63049.8,63194.8,61920.0,61920.0,541.56077126,221.5354016,320.02536966,-98.48996806,-2875.49355873
1780660800,2026-06-05 12:00:00,61918.4,62388.1,60000.0,60400.1,3167.96467163,1286.4259643,1881.53870733,-595.11274303,-3470.60630176
1780675200,2026-06-05 16:00:00,60400.1,61517.2,59070.6,60287.6,2077.82513984,918.86855411,1158.95658573,-240.08803162,-3710.69433338
1780689600,2026-06-05 20:00:00,60260.4,61957.6,59922.8,61037.9,1334.73172816,678.12879355,656.60293461,21.52585894,-3689.16847444
1780704000,2026-06-06 00:00:00,61038.3,61496.2,60522.7,60671.7,352.70754765,214.38296446,138.32458319,76.05838127,-3613.11009317
1780718400,2026-06-06 04:00:00,60671.7,61226.4,59493.5,60974.0,666.22605642,232.12132962,434.1047268,-201.98339718,-3815.09349035
1780732800,2026-06-06 08:00:00,60974.2,61462.5,60196.7,60761.9,219.05371886,101.27286664,117.78085222,-16.50798558,-3831.60147593
1780747200,2026-06-06 12:00:00,60761.9,61154.1,60384.9,60746.3,190.47286917,73.5801748,116.89269437,-43.31251957,-3874.9139955
1780761600,2026-06-06 16:00:00,60746.3,60920.6,60377.5,60575.3,268.33887777,107.65934919,160.67952858,-53.02017939,-3927.93417489
1780776000,2026-06-06 20:00:00,60574.1,60959.9,60413.1,60855.7,145.83040038,96.54280038,49.2876,47.25520038,-3880.67897451
1780790400,2026-06-07 00:00:00,60858.0,61725.4,60714.4,61678.4,314.6735154,207.04909388,107.62442152,99.42467236,-3781.25430215
1780804800,2026-06-07 04:00:00,61678.4,62395.6,61469.1,62381.1,366.15249424,227.44252861,138.70996563,88.73256298,-3692.52173917
1780819200,2026-06-07 08:00:00,62384.0,62914.4,62246.4,62615.0,321.67101301,180.84861908,140.82239393,40.02622515,-3652.49551402
1780833600,2026-06-07 12:00:00,62615.1,62621.0,61576.0,62067.1,475.71484833,247.54103502,228.17381331,19.36722171,-3633.12829231
1780848000,2026-06-07 16:00:00,62067.2,62292.2,61135.7,61305.5,403.4538507,158.34012437,245.11372633,-86.77360196,-3719.90189427
1780862400,2026-06-07 20:00:00,61305.5,64613.0,61200.2,63307.6,901.62369188,630.02174064,271.60195124,358.4197894,-3361.48210487
1780876800,2026-06-08 00:00:00,63305.6,63821.5,62687.0,63078.2,226.49942387,119.03038222,107.46904165,11.56134057,-3349.9207643
1780891200,2026-06-08 04:00:00,63078.2,63304.6,62388.2,63230.4,121.73582246,53.68099962,68.05482284,-14.37382322,-3364.29458752
1780905600,2026-06-08 08:00:00,63230.5,63811.3,62946.6,63438.0,332.15990966,245.60959431,86.55031535,159.05927896,-3205.23530856
1780920000,2026-06-08 12:00:00,63444.8,64189.0,62690.5,63745.4,647.8269194,372.03858479,275.78833461,96.25025018,-3108.98505838
1780934400,2026-06-08 16:00:00,63751.7,64025.3,63261.0,63344.8,266.58225171,122.43939701,144.1428547,-21.70345769,-3130.68851607
1780948800,2026-06-08 20:00:00,63351.1,63826.8,62974.9,63076.4,244.02101246,70.39227938,173.62873308,-103.2364537,-3233.92496977
1780963200,2026-06-09 00:00:00,63068.5,63148.6,62383.9,62851.4,353.66958449,193.07200047,160.59758402,32.47441645,-3201.45055332
1780977600,2026-06-09 04:00:00,62851.4,63467.9,62717.5,63158.5,146.71548372,89.33966752,57.3758162,31.96385132,-3169.486702
1780992000,2026-06-09 08:00:00,63158.5,63167.5,62464.8,62680.2,176.60554999,82.90152823,93.70402176,-10.80249353,-3180.28919553
1781006400,2026-06-09 12:00:00,62674.9,62870.4,61000.0,61087.9,1335.95453177,665.32856652,670.62596525,-5.29739873,-3185.58659426
1781020800,2026-06-09 16:00:00,61087.9,62050.0,60740.9,62050.0,918.3754625,466.86487242,451.51059008,15.35428234,-3170.23231192
1781035200,2026-06-09 20:00:00,62050.0,62208.7,61529.9,61690.4,366.82089236,175.29494107,191.52595129,-16.23101022,-3186.46332214
1781049600,2026-06-10 00:00:00,61688.1,61918.3,61204.7,61500.0,327.04784714,145.21964199,181.82820515,-36.60856316,-3223.0718853
1781064000,2026-06-10 04:00:00,61500.0,61759.9,61037.7,61640.0,238.20270182,110.93559386,127.26710796,-16.3315141,-3239.4033994
1781078400,2026-06-10 08:00:00,61640.0,61676.0,60746.8,60981.8,319.71669046,153.15306222,166.56362824,-13.41056602,-3252.81396542
1781092800,2026-06-10 12:00:00,60990.8,62800.0,60909.1,62589.2,948.72973556,463.38175538,485.34798018,-21.9662248,-3274.78019022
1781107200,2026-06-10 16:00:00,62589.2,62600.2,61555.0,61894.8,678.5179958,467.20675886,211.31123694,255.89552192,-3018.8846683
1781121600,2026-06-10 20:00:00,61881.0,61884.9,61042.6,61464.4,353.04214674,152.0072942,201.03485254,-49.02755834,-3067.91222664
1781136000,2026-06-11 00:00:00,61459.1,62719.2,61459.0,62610.9,256.52516555,169.51041919,87.01474636,82.49567283,-2985.41655381
1781150400,2026-06-11 04:00:00,62601.3,62918.5,62471.2,62646.0,282.04454504,213.23036157,68.81418347,144.4161781,-2841.00037571
1781164800,2026-06-11 08:00:00,62639.6,63205.4,62639.5,63047.7,229.63876965,175.29748563,54.34128402,120.95620161,-2720.0441741
1781179200,2026-06-11 12:00:00,63047.7,63171.5,62453.5,62669.6,291.19166926,141.394588,149.79708126,-8.40249326,-2728.44666736
1781193600,2026-06-11 16:00:00,62670.5,63845.9,62268.5,63557.2,543.46632768,369.2544021,174.21192558,195.04247652,-2533.40419084
1781208000,2026-06-11 20:00:00,63553.9,63625.2,63217.1,63552.3,201.70055016,120.73162201,80.96892815,39.76269386,-2493.64149698
1781222400,2026-06-12 00:00:00,63553.7,63712.1,63242.7,63430.6,189.03580661,96.25107096,92.78473565,3.46633531,-2490.17516167
1781236800,2026-06-12 04:00:00,63430.6,63775.1,62765.3,63013.3,134.3791056,53.07849085,81.30061475,-28.2221239,-2518.39728557
1781251200,2026-06-12 08:00:00,63013.3,63865.1,63013.2,63705.0,147.49753103,101.28846504,46.20906599,55.07939905,-2463.31788652
1781265600,2026-06-12 12:00:00,63705.0,64333.0,62997.5,63551.7,497.95652254,318.46208005,179.49444249,138.96763756,-2324.35024896
1781280000,2026-06-12 16:00:00,63554.2,64069.8,63493.5,63567.1,280.41684843,125.42486851,154.99197992,-29.56711141,-2353.91736037
1781294400,2026-06-12 20:00:00,63567.1,63664.2,63372.2,63543.2,329.16144635,101.19047237,227.97097398,-126.78050161,-2480.69786198
1781308800,2026-06-13 00:00:00,63543.3,63793.2,63418.5,63494.3,57.94069496,29.91898919,28.02170577,1.89728342,-2478.80057856
1781323200,2026-06-13 04:00:00,63494.3,63826.8,63450.1,63783.9,51.67913163,26.85401844,24.82511319,2.02890525,-2476.77167331
1781337600,2026-06-13 08:00:00,63795.2,63922.3,63703.3,63920.7,39.60524436,24.2989566,15.30628776,8.99266884,-2467.77900447
1781352000,2026-06-13 12:00:00,63920.7,64294.0,63877.4,64253.4,189.82824047,95.50371979,94.32452068,1.17919911,-2466.59980536
1781366400,2026-06-13 16:00:00,64258.3,64294.0,63893.2,64281.7,268.47468441,124.36051759,144.11416682,-19.75364923,-2486.35345459
1781380800,2026-06-13 20:00:00,64281.8,64750.0,64200.7,64404.0,175.52670513,116.80611196,58.72059317,58.08551879,-2428.2679358
1781395200,2026-06-14 00:00:00,64415.6,64670.1,64367.1,64512.8,111.65633985,75.55775309,36.09858676,39.45916633,-2388.80876947
1781409600,2026-06-14 04:00:00,64512.8,64519.1,64205.2,64409.8,82.37142738,29.15160514,53.21982224,-24.0682171,-2412.87698657
1781424000,2026-06-14 08:00:00,64409.8,64620.0,64300.0,64521.5,53.20840927,25.30164523,27.90676404,-2.60511881,-2415.48210538
1781438400,2026-06-14 12:00:00,64521.5,64528.8,63850.7,63982.4,199.13820119,79.70580404,119.43239715,-39.72659311,-2455.20869849
1781452800,2026-06-14 16:00:00,63983.9,64170.7,63643.3,63750.0,204.86791013,83.16563355,121.70227658,-38.53664303,-2493.74534152
1781467200,2026-06-14 20:00:00,63750.0,65750.0,63749.9,65715.1,797.05123886,543.61476285,253.43647601,290.17828684,-2203.56705468
1781481600,2026-06-15 00:00:00,65715.1,65943.0,65321.7,65890.0,296.83128402,131.72812252,165.1031615,-33.37503898,-2236.94209366
1781496000,2026-06-15 04:00:00,65890.1,65950.0,65600.0,65622.4,239.43317607,78.48342025,160.94975582,-82.46633557,-2319.40842923
1781510400,2026-06-15 08:00:00,65622.3,66330.4,65463.6,66197.5,406.45361036,272.75563921,133.69797115,139.05766806,-2180.35076117
1781524800,2026-06-15 12:00:00,66197.5,67244.4,66071.5,67243.2,860.63931241,453.08465346,407.55465895,45.52999451,-2134.82076666
1781539200,2026-06-15 16:00:00,67243.1,67263.5,66338.6,66555.0,391.02470906,186.58636,204.43834906,-17.85198906,-2152.67275572
1781553600,2026-06-15 20:00:00,66562.9,66649.3,66066.1,66284.3,378.91294895,181.64797127,197.26497768,-15.61700641,-2168.28976213
1781568000,2026-06-16 00:00:00,66284.3,66422.4,65628.5,66109.9,300.64473402,191.67774606,108.96698796,82.7107581,-2085.57900403
1781582400,2026-06-16 04:00:00,66110.0,66508.6,65778.5,66336.4,227.36497917,137.82977883,89.53520034,48.29457849,-2037.28442554
1781596800,2026-06-16 08:00:00,66336.5,66922.4,66321.4,66434.4,161.05055763,79.20798379,81.84257384,-2.63459005,-2039.91901559
