timestamp,datetime,open,high,low,close,volume,buy_vol,sell_vol,delta,cvd
1779962400,2026-05-28 10:00:00,73456.4,73456.4,73437.4,73445.2,0.11813616,0.07520152,0.04293464,0.03226688,0.03226688
1779963300,2026-05-28 10:15:00,73445.3,73453.1,73237.0,73289.9,4.72159721,2.70735196,2.01424525,0.69310671,0.72537359
1779964200,2026-05-28 10:30:00,73289.9,73382.2,73285.1,73382.0,4.07834488,2.34835002,1.72999486,0.61835516,1.34372875
1779965100,2026-05-28 10:45:00,73382.0,73454.7,73254.4,73286.2,6.86113325,0.83948495,6.0216483,-5.18216335,-3.8384346
1779966000,2026-05-28 11:00:00,73286.1,73336.5,73220.1,73309.1,16.69414872,3.31780711,13.37634161,-10.0585345,-13.8969691
1779966900,2026-05-28 11:15:00,73313.0,73330.1,73229.0,73235.5,12.70828136,10.07497113,2.63331023,7.4416609,-6.4553082
1779967800,2026-05-28 11:30:00,73235.6,73349.2,73199.0,73349.2,8.1240402,2.23555032,5.88848988,-3.65293956,-10.10824776
1779968700,2026-05-28 11:45:00,73349.3,73409.8,73304.4,73378.5,13.45495945,1.75309806,11.70186139,-9.94876333,-20.05701109
1779969600,2026-05-28 12:00:00,73378.6,73391.0,73281.6,73289.3,5.37389076,2.27660247,3.09728829,-0.82068582,-20.87769691
1779970500,2026-05-28 12:15:00,73289.3,73289.3,73142.3,73249.9,22.00822317,11.99186894,10.01635423,1.97551471,-18.9021822
1779971400,2026-05-28 12:30:00,73250.0,73396.0,73233.7,73369.2,34.81885533,32.02048286,2.79837247,29.22211039,10.31992819
1779972300,2026-05-28 12:45:00,73369.1,73449.9,73351.2,73397.8,4.67388595,3.4370103,1.23687565,2.20013465,12.52006284
1779973200,2026-05-28 13:00:00,73397.8,73449.9,73210.7,73224.2,14.37000955,1.63213735,12.7378722,-11.10573485,1.41432799
