timestamp,price,volume,side
1779968590.6297812,73285.1,1.042821,s
1779969500.713135,73374.8,1.36112626,s
1779969500.713135,73377.5,1.040279,s
1779969500.7131352,73363.5,1.01067577,s
1779969500.7131352,73368.3,1.089306,s
1779970128.2564933,73360.7,1.039023,b
1779970634.485489,73227.6,1.36504067,s
1779971462.0688446,73370.0,1.83490597,b
1779971462.0720718,73370.0,1.91688885,b
1779972002.228676,73350.0,8.04240293,b
1779973786.8416338,73251.0,9.86573,s
1779974727.8526614,73000.0,1.3829717,s
1779974728.0446928,72972.9,4.22869422,s
1779974728.0921757,72972.9,3.105986,s
1779974728.092943,72972.9,5.19817346,s
1779974957.729243,73040.0,1.024897,s
1779975021.6092515,73000.0,1.35404575,s
1779975088.062938,72929.4,1.37060322,s
1779975099.15248,72900.0,6.141732,s
1779975100.1608717,72900.0,3.858268,s
1779975371.0959494,72796.2,1.097975,s
1779975429.1963258,72700.0,2.447191,s
1779975429.2409542,72700.0,1.37740114,s
1779975429.2526484,72700.0,1.06825159,s
1779975553.0280993,72754.1,1.24629555,s
1779975553.040668,72754.1,1.17204986,s
1779975679.35681,72750.0,2.54419311,s
1779975746.4738216,72800.0,1.37100674,b
1779975866.0999641,72650.0,3.9213695,s
1779975875.9644995,72650.0,5.14977844,s
1779975908.5197523,72705.5,1.0,b
1779976381.8429992,72865.1,1.09705,s
1779976612.4354117,72859.9,1.0,s
1779976798.6524646,72900.9,1.096676,b
1779976798.6524646,72906.6,1.315911,b
1779976798.6524646,72910.3,2.05732368,b
1779976798.6524649,72921.9,6.85665846,b
1779976798.6524649,72924.8,2.05713069,b
1779976798.652465,72924.8,2.33143169,b
1779976798.652465,72924.9,1.644952,b
1779977041.1500065,72704.8,1.39820927,s
1779977133.1072998,72650.0,10.0,s
1779977134.926453,72619.1,1.35282151,s
1779977214.438441,72500.0,9.65235258,s
1779977431.138896,72635.0,2.800779,s
1779977499.86522,72538.1,1.37799372,s
1779977570.2764368,72538.2,1.25392211,b
1779977570.3907132,72539.2,2.06801711,b
1779977571.1671214,72587.4,1.06365335,b
1779977612.0674129,72872.2,1.14981073,s
1779977626.000894,72911.4,1.00250126,b
1779977626.000894,72919.8,1.09323388,b
1779977651.3218174,73180.8,2.05580287,b
1779977814.2327857,73250.0,1.349046,b
