timestamp,datetime,open,high,low,close,buy_vol,sell_vol,delta,cvd
1779963000,2026-05-28 10:10:00,73456.4,73456.4,73437.4,73445.2,0.075202,0.042935,0.032267,0.032267
1779963300,2026-05-28 10:15:00,73445.3,73453.1,73320.0,73331.8,0.143683,0.339711,-0.196027,-0.163760
1779963600,2026-05-28 10:20:00,73335.2,73335.3,73240.8,73240.8,0.450076,1.281881,-0.831805,-0.995565
1779963900,2026-05-28 10:25:00,73240.8,73290.0,73237.0,73289.9,2.113592,0.392653,1.720939,0.725374
1779964200,2026-05-28 10:30:00,73289.9,73290.0,73285.1,73290.0,0.724890,0.407446,0.317444,1.042818
1779964500,2026-05-28 10:35:00,73289.9,73339.6,73289.9,73334.9,0.403747,1.168184,-0.764437,0.278381
1779964800,2026-05-28 10:40:00,73334.9,73382.2,73334.8,73382.0,1.219713,0.154365,1.065348,1.343729
1779965100,2026-05-28 10:45:00,73382.0,73454.7,73382.0,73399.1,0.131696,0.488601,-0.356905,0.986823
1779965400,2026-05-28 10:50:00,73386.3,73386.4,73254.4,73300.0,0.108725,3.014222,-2.905498,-1.918674
1779965700,2026-05-28 10:55:00,73300.0,73334.2,73286.2,73286.2,0.599064,2.518825,-1.919760,-3.838435
1779966000,2026-05-28 11:00:00,73286.1,73336.5,73250.1,73279.9,0.719528,10.961371,-10.241844,-14.080278
1779966300,2026-05-28 11:05:00,73275.1,73298.0,73220.1,73260.9,0.327137,2.302626,-1.975489,-16.055767
1779966600,2026-05-28 11:10:00,73260.9,73309.1,73249.0,73309.1,2.271142,0.112344,2.158798,-13.896969
1779966900,2026-05-28 11:15:00,73313.0,73330.1,73274.1,73330.1,9.543983,1.563137,7.980846,-5.916123
1779967200,2026-05-28 11:20:00,73326.8,73326.8,73287.8,73292.4,0.143742,0.564241,-0.420499,-6.336622
1779967500,2026-05-28 11:25:00,73292.4,73292.5,73229.0,73235.5,0.387245,0.505932,-0.118687,-6.455308
1779967800,2026-05-28 11:30:00,73235.6,73256.8,73199.0,73239.9,0.255102,0.322406,-0.067304,-6.522613
1779968100,2026-05-28 11:35:00,73240.0,73280.3,73240.0,73263.7,1.684788,1.138606,0.546182,-5.976431
1779968400,2026-05-28 11:40:00,73263.7,73349.2,73263.6,73349.2,0.295661,4.427478,-4.131817,-10.108248
1779968700,2026-05-28 11:45:00,73349.3,73357.1,73310.6,73339.3,0.238209,0.321814,-0.083605,-10.191852
1779969000,2026-05-28 11:50:00,73339.4,73403.7,73304.4,73403.6,0.327666,0.523573,-0.195907,-10.387760
1779969300,2026-05-28 11:55:00,73403.7,73409.8,73363.4,73378.5,1.187223,10.856475,-9.669252,-20.057011
1779969600,2026-05-28 12:00:00,73378.6,73391.0,73302.8,73353.4,0.259789,2.595900,-2.336111,-22.393122
1779969900,2026-05-28 12:05:00,73353.4,73370.0,73328.1,73362.7,1.719738,0.146465,1.573272,-20.819849
1779970200,2026-05-28 12:10:00,73360.0,73360.0,73281.6,73289.3,0.297075,0.354923,-0.057848,-20.877697
1779970500,2026-05-28 12:15:00,73289.3,73289.3,73215.4,73239.4,0.290438,2.593526,-2.303088,-23.180785
1779970800,2026-05-28 12:20:00,73241.2,73242.0,73142.3,73142.6,0.466468,3.852897,-3.386429,-26.567214
1779971100,2026-05-28 12:25:00,73144.4,73250.0,73144.4,73249.9,11.234963,3.569931,7.665032,-18.902182
1779971400,2026-05-28 12:30:00,73250.0,73382.4,73249.9,73343.5,20.983474,0.217226,20.766247,1.864065
1779971700,2026-05-28 12:35:00,73343.5,73365.4,73233.7,73350.0,0.697430,0.583957,0.113473,1.977538
1779972000,2026-05-28 12:40:00,73350.0,73396.0,73350.0,73369.2,10.339579,1.997189,8.342391,10.319928
1779972300,2026-05-28 12:45:00,73369.1,73449.9,73351.2,73416.6,1.450181,0.701979,0.748202,11.068130
1779972600,2026-05-28 12:50:00,73416.6,73439.0,73378.0,73404.3,1.475173,0.299674,1.175499,12.243629
1779972900,2026-05-28 12:55:00,73404.2,73413.2,73388.1,73397.8,0.511656,0.235223,0.276433,12.520063
1779973200,2026-05-28 13:00:00,73397.8,73449.9,73328.1,73370.8,0.918065,0.892345,0.025720,12.545783
1779973500,2026-05-28 13:05:00,73370.8,73370.8,73251.0,73251.1,0.441409,11.041661,-10.600252,1.945531
1779973800,2026-05-28 13:10:00,73251.1,73251.1,73210.7,73224.2,0.272663,0.803866,-0.531203,1.414328
1779974100,2026-05-28 13:15:00,73224.2,73224.2,73104.2,73125.8,1.458498,7.491151,-6.032652,-4.618324
1779974400,2026-05-28 13:20:00,73123.9,73123.9,73025.3,73055.4,0.236848,2.424193,-2.187346,-6.805670
1779974700,2026-05-28 13:25:00,73055.3,73072.5,72855.6,73032.4,3.628866,27.523469,-23.894602,-30.700272
1779975000,2026-05-28 13:30:00,73034.3,73034.3,72788.3,72833.5,0.909651,31.098772,-30.189121,-60.889394
1779975300,2026-05-28 13:35:00,72833.5,72833.5,72700.0,72781.4,1.755061,19.434457,-17.679396,-78.568789
1779975600,2026-05-28 13:40:00,72781.4,72801.4,72650.0,72659.3,7.804285,23.717901,-15.913616,-94.482405
1779975900,2026-05-28 13:45:00,72659.4,72816.3,72659.4,72779.3,4.830220,5.232896,-0.402676,-94.885081
1779976200,2026-05-28 13:50:00,72775.3,72945.8,72740.9,72850.0,7.254539,5.572530,1.682009,-93.203072
1779976500,2026-05-28 13:55:00,72849.9,72930.6,72803.6,72930.6,28.258287,2.460577,25.797710,-67.405362
1779976800,2026-05-28 14:00:00,72896.0,72909.8,72665.2,72763.2,1.684407,4.669884,-2.985478,-70.390839
1779977100,2026-05-28 14:05:00,72763.1,72763.2,72470.0,72720.9,8.384993,29.550223,-21.165230,-91.556070
1779977400,2026-05-28 14:10:00,72720.9,73197.2,72484.4,73191.9,17.484691,7.322955,10.161736,-81.394334
1779977700,2026-05-28 14:15:00,73194.6,73420.7,73128.8,73365.2,18.515994,3.587921,14.928073,-66.466262
1779978000,2026-05-28 14:20:00,73365.1,73365.1,72867.8,72916.4,4.287781,5.424065,-1.136284,-67.602546
1779978300,2026-05-28 14:25:00,72916.3,72992.3,72768.3,72832.7,5.813841,3.505916,2.307925,-65.294621
1779978600,2026-05-28 14:30:00,72832.7,72915.0,72783.3,72811.7,6.847013,0.723518,6.123495,-59.171125
1779978900,2026-05-28 14:35:00,72811.7,72834.7,72737.1,72777.3,1.006609,3.358888,-2.352280,-61.523405
1779979200,2026-05-28 14:40:00,72777.3,72886.2,72675.7,72724.9,2.598047,1.413347,1.184700,-60.338705
1779979500,2026-05-28 14:45:00,72723.6,72753.1,72579.9,72658.3,2.311655,3.872927,-1.561272,-61.899977
1779979800,2026-05-28 14:50:00,72658.3,72868.6,72658.3,72819.0,0.956821,0.671100,0.285721,-61.614256
1779980100,2026-05-28 14:55:00,72819.1,72909.2,72819.1,72896.0,6.937695,2.503106,4.434589,-57.179667
1779980400,2026-05-28 15:00:00,72895.1,72928.3,72843.5,72882.9,1.226059,4.894265,-3.668206,-60.847873
1779980700,2026-05-28 15:05:00,72883.0,73024.0,72821.2,72859.3,22.716468,11.559097,11.157371,-49.690501
1779981000,2026-05-28 15:10:00,72859.2,72895.4,72735.5,72735.6,4.925816,4.007101,0.918715,-48.771787
1779981300,2026-05-28 15:15:00,72735.6,72753.8,72622.1,72630.2,3.286932,8.375906,-5.088974,-53.860761
1779981600,2026-05-28 15:20:00,72631.4,72764.2,72571.0,72730.2,4.583530,1.879884,2.703646,-51.157115
1779981900,2026-05-28 15:25:00,72730.4,72825.4,72730.0,72825.4,1.809687,0.184964,1.624723,-49.532393
1779982200,2026-05-28 15:30:00,72825.4,72852.1,72705.0,72719.0,2.465173,4.161190,-1.696017,-51.228409
1779982500,2026-05-28 15:35:00,72721.0,72818.0,72720.9,72742.1,0.341871,2.471349,-2.129477,-53.357887
1779982800,2026-05-28 15:40:00,72744.4,72867.8,72742.1,72859.7,1.223012,1.188086,0.034927,-53.322960
1779983100,2026-05-28 15:45:00,72871.8,72925.6,72772.1,72772.1,1.438534,3.557622,-2.119088,-55.442048
1779983400,2026-05-28 15:50:00,72772.1,72838.0,72772.0,72772.1,1.365283,0.531570,0.833713,-54.608335
1779983700,2026-05-28 15:55:00,72772.1,72830.3,72772.0,72806.3,1.268822,18.199103,-16.930281,-71.538616
1779984000,2026-05-28 16:00:00,72806.3,72806.3,72680.9,72680.9,0.516728,18.326455,-17.809727,-89.348343
1779984300,2026-05-28 16:05:00,72666.1,72755.4,72605.9,72750.0,0.981048,1.061834,-0.080786,-89.429129
1779984600,2026-05-28 16:10:00,72750.0,73016.5,72749.9,72978.4,19.399912,2.966000,16.433912,-72.995217
1779984900,2026-05-28 16:15:00,72978.4,73016.5,72932.3,73004.8,41.459154,7.765531,33.693623,-39.301594
1779985200,2026-05-28 16:20:00,72999.6,73163.8,72999.6,73137.8,9.053704,0.679925,8.373778,-30.927815
1779985500,2026-05-28 16:25:00,73137.8,73150.2,73027.7,73027.7,0.828937,1.706243,-0.877305,-31.805120
1779985800,2026-05-28 16:30:00,73027.7,73098.1,73010.4,73088.7,17.774349,10.339707,7.434642,-24.370478
1779986100,2026-05-28 16:35:00,73093.2,73115.2,73045.5,73100.8,16.432967,7.918125,8.514842,-15.855636
1779986400,2026-05-28 16:40:00,73100.8,73217.0,73077.5,73206.7,34.676918,5.268886,29.408031,13.552395
1779986700,2026-05-28 16:45:00,73206.7,73279.8,73150.0,73173.3,29.015445,23.696691,5.318753,18.871149
1779987000,2026-05-28 16:50:00,73173.2,73267.4,73161.5,73265.0,0.569083,0.394265,0.174818,19.045967
1779987300,2026-05-28 16:55:00,73265.0,73300.0,73264.9,73299.9,3.597498,0.337513,3.259985,22.305952
1779987600,2026-05-28 17:00:00,73300.0,73333.6,73206.1,73218.3,3.350589,5.875960,-2.525371,19.780581
1779987900,2026-05-28 17:05:00,73218.3,73355.7,73206.0,73355.7,18.224892,2.032792,16.192100,35.972681
1779988200,2026-05-28 17:10:00,73355.7,73400.0,73310.1,73366.2,38.697250,67.950281,-29.253031,6.719650
1779988500,2026-05-28 17:15:00,73368.7,73372.9,73271.1,73348.9,1.114989,10.518137,-9.403148,-2.683498
1779988800,2026-05-28 17:20:00,73349.0,73350.0,73285.1,73289.8,0.785981,3.358927,-2.572945,-5.256444
1779989100,2026-05-28 17:25:00,73285.1,73294.1,73202.5,73238.8,0.594564,2.245126,-1.650562,-6.907006
1779989400,2026-05-28 17:30:00,73236.5,73350.0,73223.8,73350.0,11.885798,1.061228,10.824570,3.917564
1779989700,2026-05-28 17:35:00,73349.9,73400.0,73337.1,73400.0,24.421062,1.268251,23.152811,27.070376
1779990000,2026-05-28 17:40:00,73400.0,73413.1,73367.9,73368.0,1.661277,1.382237,0.279040,27.349416
1779990300,2026-05-28 17:45:00,73367.9,73621.9,73360.3,73534.2,12.107056,3.517218,8.589837,35.939253
1779990600,2026-05-28 17:50:00,73531.9,73532.0,73416.8,73421.0,0.518733,0.333251,0.185482,36.124735
1779990900,2026-05-28 17:55:00,73419.7,73475.6,73379.2,73441.1,5.904202,0.556315,5.347887,41.472622
1779991200,2026-05-28 18:00:00,73441.2,73500.0,73411.5,73497.5,4.153637,0.342526,3.811111,45.283733
1779991500,2026-05-28 18:05:00,73494.8,73625.9,73476.6,73574.0,9.261202,3.528681,5.732521,51.016254
1779991800,2026-05-28 18:10:00,73574.0,73578.1,73508.3,73526.7,0.285249,1.379968,-1.094719,49.921535
1779992100,2026-05-28 18:15:00,73526.7,73628.8,73500.0,73500.1,23.815320,1.589115,22.226205,72.147739
1779992400,2026-05-28 18:20:00,73500.1,73570.1,73496.0,73527.4,8.617569,2.199868,6.417702,78.565441
1779992700,2026-05-28 18:25:00,73527.4,73540.6,73472.7,73478.5,1.514255,0.951185,0.563070,79.128512
1779993000,2026-05-28 18:30:00,73480.4,73578.1,73468.6,73556.8,2.474311,0.489194,1.985117,81.113629
1779993300,2026-05-28 18:35:00,73554.0,73554.0,73478.6,73487.3,2.108482,1.284206,0.824276,81.937904
1779993600,2026-05-28 18:40:00,73487.3,73500.0,73456.8,73483.6,1.346466,15.475148,-14.128682,67.809222
1779993900,2026-05-28 18:45:00,73483.7,73524.0,73469.0,73500.1,1.741329,0.268058,1.473271,69.282493
1779994200,2026-05-28 18:50:00,73500.1,73570.3,73500.0,73552.3,3.025537,0.471403,2.554134,71.836626
1779994500,2026-05-28 18:55:00,73552.2,73600.0,73526.4,73527.3,3.026760,1.199261,1.827499,73.664126
1779994800,2026-05-28 19:00:00,73527.4,73529.1,73411.5,73424.2,0.260944,7.431298,-7.170355,66.493771
1779995100,2026-05-28 19:05:00,73424.9,73471.7,73386.7,73386.7,6.362290,1.193574,5.168716,71.662487
1779995400,2026-05-28 19:10:00,73386.6,73386.7,73336.7,73364.9,0.240398,3.753680,-3.513283,68.149205
1779995700,2026-05-28 19:15:00,73364.9,73377.9,73290.8,73368.3,0.282614,2.892837,-2.610224,65.538981
1779996000,2026-05-28 19:20:00,73368.3,73400.6,73368.3,73399.9,0.396949,0.291481,0.105467,65.644448
1779996300,2026-05-28 19:25:00,73399.9,73433.8,73385.4,73433.7,0.848689,7.263859,-6.415170,59.229278
1779996600,2026-05-28 19:30:00,73434.2,73474.8,73358.5,73358.6,2.315951,0.192545,2.123406,61.352684
